模型名称,免费剩余额度,过期时间,免费额度用完即停,LLM_MAX_OUTPUT_TOKENS
qwen3.5-27b,"剩139,161/共1,000,000",2026/06/24,已开启,64k
tongyi-xiaomi-analysis-flash,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
deepseek-r1,"剩1,000,000/共1,000,000",2026/06/24,已开启,128k
qwen3-vl-flash,"剩1,000,000/共1,000,000",2026/06/24,已开启,8192
qwen-math-plus-0919,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen3-14b,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen3-max-2025-09-23,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen-plus-2025-12-01,"剩445,191/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
deepseek-v4-pro,"剩1,000,000/共1,000,000",2026/07/24,已开启,384k
qwen-plus-character,"剩1,000,000/共1,000,000",2026/06/24,已开启,32k
qwen-flash-character,"剩1,000,000/共1,000,000",2026/06/24,已开启,8k
deepseek-r1-distill-qwen-14b,"剩1,000,000/共1,000,000",2026/06/24,已开启,128k
MiniMax-M2.1,"剩1,000,000/共1,000,000",2026/06/24,已开启,200k
qwen3-30b-a3b-instruct-2507,"剩988,282/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen-flash,"剩999,980/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen-flash-2025-07-28,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen3-235b-a22b-instruct-2507,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen3.5-plus-2026-04-20,"剩1,000,000/共1,000,000",2026/07/23,已开启,未明确（官方文档未逐条列出）
kimi-k2.5,"剩419,666/共1,000,000",2026/06/24,已开启,256k
qwen3.7-max,"剩1,000,000/共1,000,000",2026/08/20,已开启,64k
qwen-vl-ocr,"剩981,894/共1,000,000",2026/06/24,已开启,8192
kimi-k2.6,"剩1,000,000/共1,000,000",2026/07/21,已开启,96k
qwen-long-latest,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen-vl-ocr-2025-04-13,"剩1,000,000/共1,000,000",2026/06/24,已开启,8192
qwen-plus-1220,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen3.5-122b-a10b,"剩1,000,000/共1,000,000",2026/06/24,已开启,8k
qwen-vl-ocr-2025-11-20,"剩1,000,000/共1,000,000",2026/06/24,已开启,8192
tongyi-intent-detect-v3,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen3-max,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen3-235b-a22b-thinking-2507,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen3.7-max-preview,"剩1,000,000/共1,000,000",2026/08/24,已开启,64k
kimi-k2-thinking,"剩1,000,000/共1,000,000",2026/06/24,已开启,256k
qwen3.6-max-preview,"剩1,000,000/共1,000,000",2026/07/20,已开启,64k
qwen3.5-397b-a17b,"剩1,000,000/共1,000,000",2026/06/24,已开启,8k
qwen3-vl-plus-2025-09-23,"剩1,000,000/共1,000,000",2026/06/24,已开启,8192
qwen-math-plus-0816,"剩997,690/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
tongyi-xiaomi-analysis-pro,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen3.5-flash,"剩1,000,000/共1,000,000",2026/06/24,已开启,64k
qwen3-vl-32b-instruct,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
deepseek-v4-flash,"剩1,000,000/共1,000,000",2026/07/24,已开启,384k
qwen3-30b-a3b-thinking-2507,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen3-max-2026-01-23,"剩533,176/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
Moonshot-Kimi-K2-Instruct,"剩1,000,000/共1,000,000",2026/06/24,已开启,256k
qwen-plus-2025-09-11,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen3-vl-flash-2026-01-22,"剩1,000,000/共1,000,000",2026/06/24,已开启,8192
qwen3.7-max-2026-05-20,"剩1,000,000/共1,000,000",2026/08/20,已开启,64k
qwen-vl-max,"剩999,758/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen3.7-plus-2026-05-26,"剩1,000,000/共1,000,000",2026/09/01,已开启,64k
qwen3-vl-30b-a3b-instruct,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen3-vl-235b-a22b-instruct,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen-flash-character-2026-02-26,"剩1,000,000/共1,000,000",2026/06/24,已开启,8k
qwen3.6-27b,"剩568,906/共1,000,000",2026/07/23,已开启,64k
qwen3-235b-a22b,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen-mt-lite,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen-plus-2025-01-25,"剩744,852/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen3.6-flash-2026-04-16,"剩1,000,000/共1,000,000",2026/07/17,已开启,64k
qwen3-vl-plus,"剩1,000,000/共1,000,000",2026/06/24,已开启,8192
qwen3.7-max-2026-05-17,"剩1,000,000/共1,000,000",2026/08/24,已开启,64k
glm-4.5,"剩1,000,000/共1,000,000",2026/06/24,已开启,198k
qwen3-30b-a3b,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
glm-4.6,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen-mt-plus,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen-coder-turbo,"剩4,782/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen3-vl-8b-instruct,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
glm-4.7,"剩620,152/共1,000,000",2026/06/24,已开启,198k
qwen-vl-ocr-2025-08-28,"剩1,000,000/共1,000,000",2026/06/24,已开启,8192
qvq-plus,"剩948,968/共1,000,000",2026/06/24,已开启,128k
gui-plus-2026-02-26,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
deepseek-v3,"剩1,000,000/共1,000,000",2026/06/24,已开启,128k
qwen3-vl-plus-2025-12-19,"剩1,000,000/共1,000,000",2026/06/24,已开启,8192
qwen-plus-2025-04-28,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen-mt-turbo,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen-long-2025-01-25,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen3.6-35b-a3b,"剩1,000,000/共1,000,000",2026/07/17,已开启,64k
qwen-math-plus-latest,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwq-plus,"剩1,000,000/共1,000,000",2026/06/24,已开启,128k
deepseek-r1-0528,"剩1,000,000/共1,000,000",2026/06/24,已开启,128k
qwen3-next-80b-a3b-instruct,"剩334,271/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
deepseek-v3.2-exp,"剩760,353/共1,000,000",2026/06/24,已开启,128k
llama-4-scout-17b-16e-instruct,"剩2,000,000/共2,000,000",2026/06/23,已开启,未明确（官方文档未逐条列出）
llama-4-maverick-17b-128e-instruct,"剩2,000,000/共2,000,000",2026/06/23,已开启,未明确（官方文档未逐条列出）
deepseek-r1-distill-llama-70b,"剩1,000,000/共1,000,000",2026/06/23,已开启,128k
